base_country,to_country,distance,distance_units,transaction_cost
AD,LC,4182.690094886739,8.0,18.0
AD,LI,503.1918235433497,1.0,11.0
AD,LK,5300.710095836411,11.0,21.0
AD,LR,2584.9958339918207,5.0,15.0
AD,LS,5265.195594024309,11.0,21.0
AD,LT,1326.1382051266246,3.0,13.0
AD,LU,546.7076788209038,1.0,11.0
AD,LV,1414.218572069803,3.0,13.0
AD,LY,1425.8633618166273,3.0,13.0
AD,MA,882.7725786003534,2.0,12.0
AD,MC,304.4530505341131,1.0,11.0
AD,MD,1343.4460081383788,3.0,13.0
AD,ME,901.9181016861694,2.0,12.0
AD,MG,5122.119226781785,10.0,20.0
AD,MH,8942.260031472097,18.0,28.0
AD,MK,1032.638601822673,2.0,12.0
AD,ML,1756.7867033787043,4.0,14.0
AD,MM,5419.407364779604,11.0,21.0
AD,MN,4647.087590805409,9.0,19.0
AD,MO,6216.0916102937435,12.0,22.0
AD,MP,7701.668104257072,15.0,25.0
AD,MQ,4151.685279362231,8.0,18.0
AD,MR,1656.162530789535,3.0,13.0
AD,MS,4116.312059001675,8.0,18.0
AD,MT,820.6163484987111,2.0,12.0
AD,MU,5615.811316363298,11.0,21.0
AD,MV,5137.216697683743,10.0,20.0
AD,MW,4377.587867380061,9.0,19.0
AD,MX,5797.838676263315,12.0,22.0
AD,MY,6546.028881611232,13.0,23.0
AD,MZ,4748.922167816343,9.0,19.0
AD,NA,4652.27361841017,9.0,19.0
AD,NC,10677.831210734457,21.0,31.0
AD,NE,1764.734923851031,4.0,14.0
AD,NF,11233.577289839344,22.0,32.0
AD,NG,2351.616278487272,5.0,15.0
AD,NI,5459.45040839245,11.0,21.0
AD,NL,684.2801518436517,1.0,11.0
AD,NO,1271.6326368635946,3.0,13.0
AD,NP,4563.797770264218,9.0,19.0
AD,NR,9393.940349498847,19.0,29.0
AD,NU,10738.791066267077,21.0,31.0
AD,NZ,12072.432755649585,24.0,34.0
AD,OM,3429.141646840885,7.0,17.0
AD,PA,5433.586578800775,11.0,21.0
AD,PE,5979.367897764532,12.0,22.0
AD,PF,10019.781840622052,20.0,30.0
AD,PG,9041.396966485865,18.0,28.0
AD,PH,7056.967998806791,14.0,24.0
AD,PK,3756.0811674635747,8.0,18.0
AD,PL,1042.6863071021646,2.0,12.0
AD,PM,2791.2582332928373,6.0,16.0
AD,PN,9311.226019111216,19.0,29.0
AD,PR,4275.124299958722,9.0,19.0
AD,PS,1973.2753415774146,4.0,14.0
AD,PT,556.3425313340783,1.0,11.0
AD,PW,7888.726521313347,16.0,26.0
AD,PY,5947.054595249322,12.0,22.0
AD,QA,3029.439936259436,6.0,16.0
AD,RE,5578.236882134983,11.0,21.0
AD,RO,1175.5731103378553,2.0,12.0
AD,RS,979.0130772934381,2.0,12.0
AD,RU,4094.755891591465,8.0,18.0
AD,RW,3542.7905586507777,7.0,17.0
AD,SA,2784.782537646525,6.0,16.0
AD,SB,9819.757093654482,20.0,30.0
AD,SC,4685.706574121876,9.0,19.0
AD,SD,2670.052460600791,5.0,15.0
AD,SE,1410.7319492996576,3.0,13.0
AD,SG,6774.144183801667,14.0,24.0
AD,SH,4667.150160817112,9.0,19.0
AD,SI,706.011098148969,1.0,11.0
AD,SJ,2497.9324857043434,5.0,15.0
AD,SK,968.4474733729841,2.0,12.0
AD,SL,2491.405469060195,5.0,15.0
AD,SM,554.4199166027362,1.0,11.0
AD,SN,2160.5512789645004,4.0,14.0
AD,SO,3753.4737298119526,8.0,18.0
AD,SR,4415.957145807688,9.0,19.0
AD,ST,2943.2992145492767,6.0,16.0
AD,SV,5602.2905502445465,11.0,21.0
AD,SY,2068.71821305226,4.0,14.0
AD,SZ,5137.2993477098335,10.0,20.0
AD,TC,4390.405287210076,9.0,19.0
AD,TD,2129.5231751473975,4.0,14.0
AD,TF,7551.772047647642,15.0,25.0
AD,TG,2344.5866800555714,5.0,15.0
AD,TH,5943.941528049042,12.0,22.0
AD,TJ,3553.1863686456245,7.0,17.0
AD,TK,10083.029510640734,20.0,30.0
AD,TL,8349.430606806294,17.0,27.0
AD,TM,2983.629889622438,6.0,16.0
AD,TN,736.5003434218561,1.0,11.0
AD,TO,10948.882300262498,22.0,32.0
AD,TR,1766.293487348623,4.0,14.0
AD,TT,4343.543869064064,9.0,19.0
AD,TV,9976.526679381914,20.0,30.0
AD,TW,6452.02992728625,13.0,23.0
AD,TZ,3974.0699214118945,8.0,18.0
AD,UA,1477.976473728701,3.0,13.0
AD,UG,3419.4445755444804,7.0,17.0
AD,US,4874.60891071122,10.0,20.0
AD,UY,6331.488213570469,13.0,23.0
AD,UZ,3159.3908200002043,6.0,16.0
AD,VA,556.6240904218737,1.0,11.0
AD,VC,4240.556492478754,8.0,18.0
AD,VE,4812.853658443396,10.0,20.0
AD,VG,4167.162621603296,8.0,18.0
AD,VI,4183.908333238806,8.0,18.0
AD,VN,6380.065431627782,13.0,23.0
AD,VU,10368.475859065857,21.0,31.0
AD,WF,10447.097688150552,21.0,31.0
AD,WS,10412.636396446333,21.0,31.0
AD,XK,979.9330463027369,2.0,12.0
AD,YE,3332.4638930702613,7.0,17.0
AD,YT,4716.35554428912,9.0,19.0
AD,ZA,5229.85046343636,10.0,20.0
AD,ZM,4191.916344409861,8.0,18.0
AD,ZW,4601.342446792914,9.0,19.0
AE,AD,3243.5383404262125,6.0,16.0
AE,AF,1108.7402894904988,2.0,12.0
AE,AG,7271.991309216599,15.0,25.0
AE,AI,7301.761576574318,15.0,25.0
AE,AL,2295.518195635275,5.0,15.0
AE,AM,1259.5060771789035,3.0,13.0
AE,AN,7860.5778179761965,16.0,26.0
AE,AO,3410.9576271211113,7.0,17.0
AE,AQ,7205.872780088082,14.0,24.0
AE,AR,8660.969950605993,17.0,27.0
AE,AS,9503.989319854616,19.0,29.0
AE,AT,2722.18198582893,5.0,15.0
AE,AU,6315.832588613403,13.0,23.0
AE,AW,7900.9409112104995,16.0,26.0
AE,AZ,1211.5935579707118,2.0,12.0
AE,BA,2485.2045916874717,5.0,15.0
AE,BB,7275.788145822095,15.0,25.0
AE,BD,2305.929339007888,5.0,15.0
AE,BE,3221.6855762194273,6.0,16.0
AE,BF,3703.7332078912455,7.0,17.0
AE,BG,2097.866919761358,4.0,14.0
AE,BH,265.694053219673,1.0,11.0
AE,BI,2454.4374211990707,5.0,15.0
AE,BJ,3532.5655928192264,7.0,17.0
AE,BM,6849.330695849026,14.0,24.0
AE,BN,4251.882664235659,9.0,19.0
AE,BO,8370.885353053069,17.0,27.0
AE,BR,7589.75377728549,15.0,25.0
AE,BS,7761.0270817284645,16.0,26.0
AE,BT,2291.4351407953345,5.0,15.0
AE,BV,6152.2555289747115,12.0,22.0
