base_country,demand
JP,13.05
KP,12.27
RU,8.05
DE,8
AT,7.37
HU,7.02
CZ,6.63
PL,6.62
LT,6.56
FR,5.98
SK,5.82
BE,5.76
LV,5.57
HK,
EE,4.69
LU,4.66
CH,4.53
SI,4.5
CN,4.34
GR,4.21
AU,
NO,3.6
PT,3.39
NL,3.32
FI,3.28
IT,3.18
IS,3.06
IL,3.02
ES,2.97
IE,2.96
TR,2.81
US,
NZ,2.71
DK,2.61
GB,2.54
CA,2.52
SE,2.22
CL,2.11
CO,1.7
IN,0.53
MX,1.38
